time,open,high,low,close,volume,volume ma,rsi,histogram,macd,signal
1253194200,6.499279,6.671064,6.498922,6.591065,810571688,439489967.6,76.6442997109858,0.0354791020011042,0.164229037011566,0.128749935010462
1253280600,6.636779,6.662493,6.598564,6.607851,601747928,452467399.6,77.0302240320848,0.0425426777777674,0.181928282232671,0.139385604454904
1253539800,6.581779,6.612851,6.486422,6.572136,437716008,453549518,74.2201410198249,0.0411898329501306,0.190872895642567,0.149683062692436
1253626200,6.613922,6.620708,6.530351,6.588565,356964376,451051281.4,74.6777612821765,0.0378664854031835,0.197016169446416,0.159149684043232
1253712600,6.621422,6.746421,6.608208,6.624993,594040528,464535620.2,75.7074516856139,0.0346722643755902,0.20249001451272,0.16781775013713
1253799000,6.685708,6.703565,6.527493,6.564994,550878372,476879631.4,70.6142564454863,0.0254936527202623,0.199684816037458,0.174191163317195
1253885400,6.50035,6.624993,6.479994,6.513208,445487892,476695039.8,66.4584533276115,0.01351132822784,0.191080323601995,0.177568995374155
1254144600,6.566779,6.667136,6.547493,6.648275,337648276,470884546.8,71.2164910534914,0.0122935509830471,0.192935934102964,0.180642383119917
1254231000,6.668922,6.69285,6.582493,6.620708,345385804,472576804.2,69.0631341585974,0.00747967987784345,0.189991982967221,0.182512303089378
1254317400,6.647493,6.658922,6.521876,6.619637,539582936,476104659.2,68.9758737379466,0.00233806300381728,0.18543488184415,0.183096818840332
1254403800,6.619637,6.650708,6.453565,6.459275,524711564,484120197.8,57.301497903287,-0.0129103549216672,0.166958875188248,0.179869230109915
1254490200,6.478922,6.640708,6.47678,6.603564,553435112,497086798,63.3175458188041,-0.0142226322703837,0.162090939771936,0.17631357204232
1254749400,6.649993,6.673565,6.581068,6.643708,423132696,499512082,64.8033844806924,-0.013345089288839,0.159632210431271,0.17297729972011
1254835800,6.704994,6.786064,6.689279,6.786064,605084188,514013951.8,69.5184725850589,-0.00458766438926639,0.167242719233527,0.171830383622793
1254922200,6.777136,6.80535,6.751136,6.794636,465668128,496732732.2,69.7809912529521,0.000122313032601629,0.171983274913545,0.171860961880944
1255008600,6.809279,6.837493,6.746065,6.759636,438209620,494086516.8,67.2348162282835,-0.000732418035797044,0.170945439336197,0.171677857371994
1255095000,6.748922,6.810707,6.736422,6.802493,293393700,491308148.2,68.7389718891295,-5.98729838868495E-05,0.171603016142136,0.171662889126023
1255354200,6.822136,6.839636,6.77285,6.814636,288151340,489615179.8,69.1708200343368,-0.000425276034826255,0.17113129408249,0.171556570117316
1255440600,6.808207,6.827493,6.774993,6.786422,348018704,485692584.6,66.8597356290773,-0.00399660998508528,0.166560807635959,0.170557417621045
1255527000,6.866065,6.868565,6.793922,6.831779,375770984,466779992.2,68.6718751291025,-0.00468590565949811,0.164700035546672,0.16938594120617
1255613400,6.772493,6.818565,6.768922,6.805707,373555260,444929170.8,66.4234832213696,-0.00808041334068238,0.159285424530317,0.167365837871
1255699800,6.762494,6.798565,6.708565,6.716065,431425184,436413033.6,59.2415495435985,-0.017031021789626,0.146077060633967,0.163108082423593
1255959000,6.708922,6.785708,6.626779,6.780708,942230060,461638736.2,62.3988473751909,-0.0191099554693811,0.139220638086867,0.158330593556248
1256045400,7.164279,7.20535,7.066065,7.098564,1141040564,500842545.6,73.3362233836308,-0.000569857829179787,0.157618271269773,0.158188129098953
1256131800,7.125707,7.453918,7.11535,7.318564,1193727208,530826879.6,78.08723521619,0.0236783041417155,0.187786009276097,0.164107705134382
1256218200,7.310707,7.423207,7.232492,7.328564,791392340,542852578,78.2767102733891,0.036777364486329,0.210079410742293,0.173302046255964
1256304600,7.346421,7.349993,7.258207,7.283564,420786184,541617492.6,75.1285483322436,0.0386079149742137,0.221561939973731,0.182954024999517
1256563800,7.273921,7.383921,7.146422,7.231421,484338212,548951989.4,71.5382463979181,0.0327357764893436,0.223873745611197,0.191137969121853
1256650200,7.202136,7.243207,7.016064,7.048922,756550900,569510244.2,60.6191867241319,0.0139499421438593,0.208575396801677,0.194625454657818
1256736600,7.061065,7.072136,6.824994,6.871421,818385712,583450383,52.2636942530844,-0.0116579961648553,0.180052959451749,0.191710955616604
1256823000,6.964279,7.028922,6.862136,7.012493,570408952,585735252.4,57.3010626818298,-0.0198423310835361,0.166908041762184,0.18675037284572
1256909400,7.001993,7.028564,6.645233,6.732136,717524236,593939708.6,46.7441398669332,-0.0435262421470091,0.132342570161959,0.175868812308968
1257172200,6.778565,6.888565,6.627494,6.761065,679589348,606762541.2,47.812572779828,-0.0558463224257779,0.106060909276746,0.161907231702524
1257258600,6.708922,6.768565,6.639993,6.741065,522542344,602635449,47.1089106574595,-0.0633931841640762,0.0826657514974283,0.146058935661505
1257345000,6.811779,6.923208,6.793922,6.814636,487742564,603739170.8,50.0226876158537,-0.0614366975199841,0.0692630637615244,0.130699761281508
1257431400,6.871421,6.964279,6.850708,6.92964,384923608,601074870.2,54.2642027147228,-0.0508420745571141,0.0671471680851159,0.11798924264223
1257517800,6.87535,6.971064,6.871421,6.940707,295229772,601166673.8,54.6629548108615,-0.0419057598926489,0.0656070427764188,0.107512802669068
1257777000,7.033564,7.210707,7.009278,7.194993,528855120,613201862.8,62.7081696852456,-0.0188601170445976,0.0839376563633207,0.102797773407918
1257863400,7.179279,7.320707,7.178921,7.249278,401193920,615860623.6,64.1699235349431,-0.000899721872841347,0.101673121066867,0.102572842939708
1257949800,7.305707,7.321421,7.208207,7.258921,444078484,619275998.6,64.4365976472357,0.0100849274799775,0.11517900228968,0.105094074809702
1258036200,7.254993,7.316778,7.193921,7.213922,363915800,618794025.6,62.1133605744593,0.0126113706497714,0.120858288121917,0.108246917472145
1258122600,7.24535,7.31535,7.216779,7.301778,343331412,614389337,64.7830795694645,0.0181536855827854,0.130939024450627,0.112785338867842
1258381800,7.338564,7.428564,7.321778,7.379635,485204644,591538066.2,67.0021736834337,0.0246162644607419,0.143555669443769,0.118939404983027
1258468200,7.359993,7.408564,7.321421,7.39285,396512652,554311670.6,67.377916105979,0.0271354610166595,0.152858731253851,0.125723270237192
1258554600,7.376421,7.39285,7.285707,7.355707,374319800,513341300.2,65.1329982045839,0.0237753843637716,0.155442500691906,0.131667116328135
1258641000,7.307493,7.307493,7.135707,7.161064,542326492,500888007.8,54.8243269161042,0.00680096297294885,0.140168320044321,0.133367357071372
1258727400,7.112493,7.156779,7.06285,7.139993,406890720,500193234.6,53.8310608448739,-0.00675537995386488,0.124923132129041,0.131678512082906
