time,open,high,low,close,volume,volumema,100ma,MA,MA,MA,rsi,histogram,macd,signal
1295447400,129.41,129.53571,127.91,128.25,151958320,106291292,119.3466148,126.898451904762,128.106386666667,123.8173192,63.9903120675678,0.0162152156650595,1.45605790983828,1.43984269417322
1295533800,127.96001,128.39999,127.13,128.08,175745632,110330301.6,119.5588148,127.064165714286,128.183053333333,123.929119,62.4672612475303,-0.0589658973286167,1.36613532251245,1.42510121984107
1295620200,128.88,129.17,128.23,128.37,151462880,113959542.4,119.7894048,127.20607047619,128.31972,124.064319,64.039642743146,-0.0974821259646641,1.30324856238524,1.4007306883499
1295879400,128.285,129.25,128.25999,129.10001,113715440,116141352,120.0273049,127.364166190476,128.555276666667,124.204319,67.7071390537553,-0.0826958393119557,1.29736088920995,1.38005672852191
1295965800,128.75999,129.28,128.11,129.17,167552128,121612660,120.2344048,127.534165714286,128.748611111111,124.3550192,68.0436465716354,-0.0772081442245987,1.28354654824116,1.36075469246576
1296052200,129.49001,130.05,129.23,129.67,141281440,125911281.6,120.4364048,127.725594761905,128.869722222222,124.5444592,70.4154157116569,-0.0502180936346801,1.29798207542241,1.34820016905709
1296138600,129.7,130.21001,129.47,129.99001,123302624,129174760.8,120.6274049,127.92369047619,129.050002222222,124.7436594,71.85518159405,-0.0225377303535399,1.32002800611517,1.34256573646871
1296225000,130.14,130.35001,127.50999,127.72,295637248,140125779.2,120.8082049,128.009404761905,128.874446666667,124.9348594,52.3813307804288,-0.161113400428603,1.14117398593295,1.30228738636156
1296484200,128.07001,128.78,127.75,128.67999,149249120,143024722.4,120.9909048,128.150356666667,128.781112222222,125.1440992,57.6131047854151,-0.190132501525419,1.06462175945478,1.2547542609802
1296570600,129.46001,130.97,129.3801,130.74001,167194192,144448172.8,121.1891049,128.387976190476,129.05778,125.3597494,66.1959277381532,-0.0783277432586549,1.15684458190688,1.23517232516554
1296657000,130.39999,130.84,130.33,130.485,118323632,143493870.4,121.379135,128.551547619048,129.325002222222,125.5636496,64.4559955354814,-0.0316795898281275,1.19557283788038,1.2272524277085
1296743400,130.25999,130.98,129.57001,130.78,145886624,144089439.2,121.559735,128.7325,129.59278,125.7754496,65.5829947643917,0.00685685016868742,1.23582349041936,1.22896664025068
1296829800,130.83,131.2,130.23,131.14999,134634688,144695223.2,121.744735,128.899642380952,129.820555555556,126.0294996,66.9964141589458,0.0430589399333363,1.28279031516735,1.23973137523401
1297089000,131.44,132.39999,131.42999,131.97,112439008,142515445.6,121.933635,129.117737619048,130.131666666667,126.2648996,69.9426190726103,0.104521215866957,1.37038289506771,1.26586167920075
1297175400,132.09,132.64,131.73,132.57001,99072688,141348998.4,122.1288351,129.37630952381,130.45389,126.5402998,71.9180128463841,0.164316022020811,1.47125670672676,1.30694068470595
1297261800,132.21001,132.63,131.61,132.269,146436624,143156482.4,122.326625,129.628166666667,130.707111111111,126.8024398,69.4520050134567,0.162055646971269,1.50951024342004,1.34745459644877
1297348200,131.60001,132.47,131.3,132.321,162708496,145895451.2,122.5077349,129.861071904762,131.218333333333,127.07901,69.64564049924,0.143177695051589,1.52642671526326,1.38324902021167
1297434600,131.8,133.28,131.77,133.11,137716432,146319816.8,122.6990349,130.076786190476,131.710556666667,127.3210102,72.4945540582064,0.161581068624364,1.58522535599212,1.42364428736776
1297693800,133.03,133.53999,132.88,133.42999,101691120,145520479.2,122.8991348,130.317857619048,132.009443333333,127.53841,73.5776662858703,0.172087521056681,1.63875368868861,1.46666616763193
1297780200,133.02,133.22,132.3167,133.00999,119575376,145779185.6,123.1042547,130.494523809524,132.289997777778,127.7408098,69.6981837877135,0.129476915390705,1.62851231187031,1.4990353964796
1297866600,133.46001,134.00999,133.19,133.85001,130183440,144690441.6,123.2945547,130.700714761905,132.63111,127.9626102,72.7885151406162,0.135923713799725,1.66894003872926,1.53301632492954
1297953000,133.46001,134.42999,133.34,134.25,109810432,141393681.6,123.4943547,130.986429047619,132.975555555556,128.1910102,74.1408813121649,0.144389306609683,1.71350295819164,1.56911365158196
1298039400,134.37,134.69,134.06,134.53,130002320,140320653.6,123.6929547,131.293571904762,133.26,128.4160102,75.0747279219602,0.145689886357571,1.75122600952892,1.60553612317135
1298385000,133.12,134.56149,131.47,131.83,233116368,146290700,123.8665547,131.458333809524,133.177776666667,128.5774104,54.5990829220111,-0.0480772987096443,1.54543949978429,1.59351679849394
1298471400,131.75,132.07001,130.21001,131.02,227610128,149293600,124.0354547,131.549761904762,133.038998888889,128.7082104,50.1776776979737,-0.233226621141877,1.30198352206659,1.53521014320847
1298557800,130.88,131.44,129.7,130.92999,260467056,155252880.8,124.1986546,131.633570952381,132.884442222222,128.8356102,49.6960765635204,-0.356788950385017,1.0892239552272,1.44601290561221
1298644200,131.48,132.41,131.39999,132.33,141693808,156172440,124.3844546,131.760237619048,132.797775555556,128.9888102,56.6632737723017,-0.339369614329081,1.02180088770086,1.36117050202994
1298903400,132.82001,133.32001,132.38,133.14999,141600752,148470615.2,124.5555546,131.910712857143,132.766664444445,129.1698498,60.1450482237225,-0.270740881481602,1.02274440017794,1.29348528165954
1298989800,133.57001,133.69,130.89,130.92999,258582256,153937272,124.7045545,132.06356952381,132.535553333333,129.2920494,48.7301640535507,-0.367000708990464,0.834734395421464,1.20173510441193
1299076200,130.75,131.82001,130.35001,131.21001,200277808,155591452.8,124.8577546,132.184046666667,132.24222,129.4302496,50.0187098367844,-0.401181487738714,0.700258244738535,1.10143973247725
1299162600,132.39999,133.62,132.39,133.47,176485184,158499530.4,125.0270795,132.314046190476,132.155553333333,129.6076494,58.9794105570115,-0.267389074901532,0.767203388850334,1.03459246375187
1299249000,133.37,133.63,131.60001,132.47,277371392,165073768.8,125.1852796,132.40857,131.926664444445,129.7492494,54.3373467630989,-0.242763451202497,0.731138149748745,0.973901600951242
1299508200,132.86,133.15939,130.735,131.42999,216888944,169186481.6,125.3294796,132.439521904762,131.882218888889,129.8622492,49.9354314620286,-0.289852409627376,0.611586088917022,0.901438498544398
